id,name,xasset,unkc,registerfunc,unregisterFunc,hash,unk30,unk38,unk3C,checksum,b1,b2,b3,b4
0,,<none>,0,NULL,NULL,,0,0,1,0,0,0,0,0
1,vehicle,vehicle,128,BlackOps4.exe+5ce770,NULL,defaultvehicle_mp,100000000,0,2,39cd81ee,0,0,0,0
2,model,xmodel,8192,NULL,NULL,,0,128,5132,4115693976,0,0,0,0
3,aitype,aitype,127,BlackOps4.exe+5ce610,NULL,$default_aitype,100000000,2080,2,f99c2e17,0,0,0,0
4,character,character,1048,NULL,NULL,,0,8447,21,205265818,0,0,0,0
5,xmodelalias,xmodelalias,50,NULL,NULL,,0,9495,3,2647240797,0,0,0,0
6,weapon,weapon,1536,BlackOps4.exe+5ce830,NULL,,0,2549,11f,b1c60a89,0,0,0,0
7,gesture,gesture,2048,NULL,BlackOps4.exe+5ce750,,0,2b49,1d9,80fbe4ed,0,0,0,0
8,gesturetable,gesturetable,256,NULL,BlackOps4.exe+5ce760,,0,3349,c,400842c0,0,0,0,0
9,zbarrier,zbarrier,255,NULL,NULL,,0,13385,1,0,0,0,0,0
10,rumble,rumble,200,NULL,NULL,,0,13640,113,322351738,0,0,0,0
11,shellshock,shellshock,64,NULL,NULL,default,4294967296,13840,30,3588174961,0,0,0,0
12,statuseffect,statuseffect,64,NULL,NULL,,0,13904,29,1887275436,0,0,0,0
13,xcam,xcam,1024,NULL,NULL,,0,13968,238,1012349984,0,0,0,0
14,destructible,destructibledef,128,NULL,NULL,,0,14992,2,1479050589,0,0,0,0
15,streamerhint,streamerhint,64,NULL,NULL,,0,15120,2,3695086053,0,0,0,0
16,flowgraph,flowgraph,64,NULL,NULL,,0,15184,1,0,0,0,0,0
17,xanim,xanim,16384,NULL,NULL,,0,15248,2832,774867914,0,0,0,0
18,sanim,sanim,1024,NULL,NULL,,0,31632,2,2829497767,0,0,0,0
19,scriptbundle,scriptbundle,5200,NULL,NULL,,0,32656,7,501400042,0,0,0,0
20,talent,talent,256,NULL,NULL,hash_61f2350617895b0,0,37856,2,1742780776,0,0,0,0
21,statusicon,material,8,NULL,NULL,,0,38112,1,0,0,0,0,0
22,locationselector,<none>,15,NULL,NULL,,0,38120,1,0,0,0,0,0
23,menu,<none>,64,NULL,NULL,,0,38135,1,0,0,0,0,0
24,material,material,512,NULL,NULL,,0,38199,1,0,0,0,0,0
25,string,<none>,8192,NULL,NULL,,0,38711,1256,1045547479,0,0,0,0
26,eventstring,<none>,256,NULL,NULL,,0,46903,1,0,0,0,0,0
27,moviefile,rawstring,256,NULL,NULL,,0,47159,1,0,0,0,0,0
28,objective,<none>,256,NULL,NULL,,0,47415,1,0,0,0,0,0
29,fx,fx,400,NULL,NULL,,0,47671,1,0,0,0,0,0
30,lui_menu_data,<none>,128,NULL,NULL,,0,48071,1,0,0,0,0,0
31,lui_elem,<none>,64,NULL,NULL,,0,48199,1,0,0,0,0,0
32,lui_elem_uid,rawstring,64,NULL,NULL,,0,48263,1,0,0,0,0,0
33,radiant_exploder,<none>,256,NULL,NULL,,0,48327,1,0,0,0,0,0
34,soundalias,<none>,32768,NULL,NULL,,0,48583,275,1558567272,0,0,0,0
35,client_fx,fx,2048,NULL,NULL,,1,81351,5,2286071223,0,0,0,0
36,client_tagfxset,tagfx,64,NULL,NULL,,1,83399,1,0,0,0,0,0
37,client_lui_elem,rawstring,64,NULL,NULL,,1,83463,1,0,0,0,0,0
38,client_lui_elem_uid,rawstring,64,NULL,NULL,,1,83527,1,0,0,0,0,0
39,requires_implements,<none>,256,NULL,NULL,,1,83591,1,0,0,0,0,0