location,name,func
BlackOps4.exe+90f8790,gametype_setting,BlackOps4.exe+2898290
BlackOps4.exe+f9f8da8,exec,BlackOps4.exe+3cdf0c0
BlackOps4.exe+da0c4b0,hash_1dcaf36fc69e9183,BlackOps4.exe+3807b90
BlackOps4.exe+fa20230,set,BlackOps4.exe+3d07090
BlackOps4.exe+da0c510,hash_22f88a839b92e707,BlackOps4.exe+3807a40
BlackOps4.exe+da0c4e0,hash_22bc66943081bb7d,BlackOps4.exe+3807e30
BlackOps4.exe+da0c540,hash_20929e1a09772771,BlackOps4.exe+3807ce0
BlackOps4.exe+8b232b0,cmd,BlackOps4.exe+285c180
BlackOps4.exe+8a3e6f0,bindaxis,BlackOps4.exe+282cc00
BlackOps4.exe+8a4fa68,bind,BlackOps4.exe+283df30
BlackOps4.exe+8a4fa98,bind2,BlackOps4.exe+283df30
BlackOps4.exe+8a4faf8,unbind2,BlackOps4.exe+2841240
BlackOps4.exe+8a4fac8,unbind,BlackOps4.exe+2841240
BlackOps4.exe+f761be8,updatedifficultyfromprofile,BlackOps4.exe+3cde870
BlackOps4.exe+da0c570,checkdlcownership,BlackOps4.exe+380b590
BlackOps4.exe+da0c480,hash_3fa98e220275a014,BlackOps4.exe+380c660
BlackOps4.exe+da0c450,hash_34708c622e1edae0,BlackOps4.exe+380c690
BlackOps4.exe+e176e60,lobby_reload,BlackOps4.exe+38e3a30
BlackOps4.exe+ed3e1a0,execlua,BlackOps4.exe+390d070
BlackOps4.exe+97ef560,netstatsupdate,BlackOps4.exe+2e05650
BlackOps4.exe+97ef530,netstatsdump,BlackOps4.exe+2e05770
BlackOps4.exe+fc606b8,hash_57a4ebb872e46e54,BlackOps4.exe+3d33650
BlackOps4.exe+8a3e720,unbindallaxis,BlackOps4.exe+282ce40
BlackOps4.exe+8a4fb28,unbindall,BlackOps4.exe+28413a0
BlackOps4.exe+8a4fbb8,loadbinds,BlackOps4.exe+283ead0
BlackOps4.exe+67b9660,setfocusscoreboard,BlackOps4.exe+c3e7f0
BlackOps4.exe+68991e0,shoutcaster_thirdperson,BlackOps4.exe+1549bb0
BlackOps4.exe+68991b0,camerashake,BlackOps4.exe+155ff60
BlackOps4.exe+6899180,updatevehiclebindings,BlackOps4.exe+154bb10
BlackOps4.exe+6598ab0,hash_1cc086f5ba4b670d,BlackOps4.exe+8090a0
BlackOps4.exe+6598a80,hash_9d46eeb5b82045b,BlackOps4.exe+809090
BlackOps4.exe+6598a50,hash_43546bbf707145bc,BlackOps4.exe+7f3250
BlackOps4.exe+6598a20,cgprintentities,BlackOps4.exe+7faef0
BlackOps4.exe+65989f0,togglebandwidthprofile,BlackOps4.exe+804c30
BlackOps4.exe+65989c0,playrumble,BlackOps4.exe+7fae00
BlackOps4.exe+6598990,hash_7e00cb01448dfa08,BlackOps4.exe+804d30
BlackOps4.exe+6598960,cg_togglemap,BlackOps4.exe+804f20
BlackOps4.exe+6598930,cg_togglescores,BlackOps4.exe+805150
BlackOps4.exe+6598900,voiceteamchat,BlackOps4.exe+802d10
BlackOps4.exe+65988d0,voicechat,BlackOps4.exe+807170
BlackOps4.exe+65988a0,cg_shellshock,BlackOps4.exe+800c10
BlackOps4.exe+6598870,weapprev,BlackOps4.exe+2167350
BlackOps4.exe+6598840,weapnext,BlackOps4.exe+2143220
BlackOps4.exe+6598810,viewpos,BlackOps4.exe+805290
BlackOps4.exe+f98c860,hash_68ab2cf114e6506,BlackOps4.exe+3cd8730
BlackOps4.exe+f98c830,resetthumbnailviewer,BlackOps4.exe+3cd76f0
BlackOps4.exe+f98c800,addthumbnail,BlackOps4.exe+3cd7100
BlackOps4.exe+f98c7d0,preservethumbnails,BlackOps4.exe+3cd7670
BlackOps4.exe+f98c7a0,setupthumbnailformarketing,BlackOps4.exe+3cd8f80
BlackOps4.exe+f98c770,setupthumbnailforfilesharesave,BlackOps4.exe+3cd8df0
BlackOps4.exe+f98c740,setupthumbnailsformanagesegments,BlackOps4.exe+3cd8ed0
BlackOps4.exe+f98c710,screenshotviewerabortdownload,BlackOps4.exe+3cd8680
BlackOps4.exe+f98c6e0,screenshotviewerdownload,BlackOps4.exe+3cd86a0
BlackOps4.exe+948fa50,spawnsystem_devgui,BlackOps4.exe+2d77270
BlackOps4.exe+5f95b30,bgcacheprintitems,BlackOps4.exe+5cf590
BlackOps4.exe+f96be70,isbadword,BlackOps4.exe+3cd11b0
BlackOps4.exe+f96be40,checkclanname,BlackOps4.exe+3ccdc80
BlackOps4.exe+f96be10,setclanname,BlackOps4.exe+3cd62e0
BlackOps4.exe+12c43c78,emblembackgroundflushresults,BlackOps4.exe+4184dd0
BlackOps4.exe+12c43c48,emblemflushresults,BlackOps4.exe+4185080
BlackOps4.exe+f608828,hash_92729eaf249acaa,BlackOps4.exe+3c497b0
BlackOps4.exe+f761d08,hostmigration_start,BlackOps4.exe+3cde870
BlackOps4.exe+f761ca8,setperk,BlackOps4.exe+3cde870
BlackOps4.exe+f761c48,stringusage,BlackOps4.exe+3cde870
BlackOps4.exe+f761b88,scriptthreadusage,BlackOps4.exe+3cde870
BlackOps4.exe+f761b28,killserver,BlackOps4.exe+3cde870
BlackOps4.exe+f761ac8,switchmaps,BlackOps4.exe+3cde870
BlackOps4.exe+f761a68,msload,BlackOps4.exe+3cde870
BlackOps4.exe+f761a08,mspreload,BlackOps4.exe+3cde870
BlackOps4.exe+f7619a8,devmap,BlackOps4.exe+3cde870
BlackOps4.exe+f761948,map_rotate,BlackOps4.exe+3cde870
BlackOps4.exe+f7618e8,map,BlackOps4.exe+3cde870
BlackOps4.exe+f761888,notifystatschanged,BlackOps4.exe+3cde870
BlackOps4.exe+f761828,checkpoint_restart,BlackOps4.exe+3cde870
BlackOps4.exe+f7617c8,mission_restart,BlackOps4.exe+3cde870
BlackOps4.exe+f761768,hash_1e01c22e54a1841f,BlackOps4.exe+3cde870
BlackOps4.exe+f761708,hash_3c258453c54bc43e,BlackOps4.exe+3cde870
BlackOps4.exe+f7616a8,mychanges_restart,BlackOps4.exe+3cde870
BlackOps4.exe+f761648,fast_restart,BlackOps4.exe+3cde870
BlackOps4.exe+f7615e8,full_restart,BlackOps4.exe+3cde870
BlackOps4.exe+f761588,dumpuser,BlackOps4.exe+3cde870
BlackOps4.exe+f761528,systeminfo,BlackOps4.exe+3cde870
BlackOps4.exe+f7614c8,serverinfo,BlackOps4.exe+3cde870
BlackOps4.exe+f761468,teamstatus,BlackOps4.exe+3cde870
BlackOps4.exe+f761408,hash_335926c22397b615,BlackOps4.exe+3cde870
BlackOps4.exe+f7613a8,status,BlackOps4.exe+3cde870
BlackOps4.exe+f761348,clientkick_for_reason,BlackOps4.exe+3cde870
BlackOps4.exe+f7612e8,clientkick,BlackOps4.exe+3cde870
BlackOps4.exe+f761288,tempbanclient,BlackOps4.exe+3cde870
BlackOps4.exe+f761228,tempbanuser,BlackOps4.exe+3cde870
BlackOps4.exe+f7611c8,kick,BlackOps4.exe+3cde870
BlackOps4.exe+f761168,banclient,BlackOps4.exe+3cde870
BlackOps4.exe+f761108,banuser,BlackOps4.exe+3cde870
BlackOps4.exe+f7610a8,onlykick,BlackOps4.exe+3cde870
BlackOps4.exe+f761048,heartbeat,BlackOps4.exe+3cde870
BlackOps4.exe+8831418,invalidaterenders,BlackOps4.exe+278e200
BlackOps4.exe+a073760,netchandump,BlackOps4.exe+2e06e60
BlackOps4.exe+a073730,net_dumpprofile,BlackOps4.exe+2e065e0
BlackOps4.exe+a073700,netqueue,BlackOps4.exe+2e0b220
BlackOps4.exe+90d0b78,setupweapondefs,BlackOps4.exe+42146e0
BlackOps4.exe+90d0b48,printlivememusage,BlackOps4.exe+288fee0
BlackOps4.exe+90d0b18,loadcommonff,BlackOps4.exe+288ffa0
BlackOps4.exe+90d0ae8,writedefaults,BlackOps4.exe+28917b0
BlackOps4.exe+90d0ab8,quit,BlackOps4.exe+2890480
BlackOps4.exe+90d0a88,ntpsync,BlackOps4.exe+2890410
BlackOps4.exe+90d0a58,hash_da41417123a304b,BlackOps4.exe+288a3c0
BlackOps4.exe+90d0a28,hash_7d06efec300e40a7,BlackOps4.exe+288a3d0
BlackOps4.exe+90d09f8,featurechecksum,BlackOps4.exe+2264d40
BlackOps4.exe+90d09c8,startwzmatch,BlackOps4.exe+28911a0
BlackOps4.exe+f0a8d90,hash_24ecc8057d415e3d,BlackOps4.exe+3c3ca50
BlackOps4.exe+f0a8d60,marketing_markmessageasviewed,BlackOps4.exe+3c3d7d0
BlackOps4.exe+b21d408,resetprofilecommon,BlackOps4.exe+31cbc60
BlackOps4.exe+b21d3d8,updategamerprofile,BlackOps4.exe+31cc310
BlackOps4.exe+b21d3a8,getprofile,BlackOps4.exe+31caa90
BlackOps4.exe+b21d378,setprofile,BlackOps4.exe+31ccaa0
BlackOps4.exe+da07b08,livephrasetest,BlackOps4.exe+37f94f0
BlackOps4.exe+da07ad8,timewarpreset,BlackOps4.exe+3805210
BlackOps4.exe+da07aa8,timewarpset,BlackOps4.exe+3805230
BlackOps4.exe+da07a78,timewarpadd,BlackOps4.exe+38051a0
BlackOps4.exe+da07b38,logglytest,BlackOps4.exe+3804170
BlackOps4.exe+d4c7180,updatecards,BlackOps4.exe+37db020
BlackOps4.exe+d4c7150,loadcrmmessages,BlackOps4.exe+37dafb0
BlackOps4.exe+da059b0,hash_593d1f289d304ae6,BlackOps4.exe+37f8810
BlackOps4.exe+da05980,dumpallspecialitemskus,BlackOps4.exe+37f6150
BlackOps4.exe+da05950,hash_2a5ee30fdf60b917,BlackOps4.exe+37f8890
BlackOps4.exe+da05920,hash_4786151cf4d0df3b,BlackOps4.exe+37f5be0
BlackOps4.exe+da058f0,refetchbalances,BlackOps4.exe+37f8b50
BlackOps4.exe+da058c0,refetchinventory,BlackOps4.exe+37f8ba0
BlackOps4.exe+64455d0,bbdisable,BlackOps4.exe+6e1ec0
BlackOps4.exe+64455a0,bbenable,BlackOps4.exe+6e1f70
BlackOps4.exe+6445570,bbsend,BlackOps4.exe+6e2530
BlackOps4.exe+a830910,flushkvs,BlackOps4.exe+2ecdd20
BlackOps4.exe+dacb548,vote_gethistory,BlackOps4.exe+381d3e0
BlackOps4.exe+dacb518,vote_submitdislike,BlackOps4.exe+381d910
BlackOps4.exe+dacb4e8,vote_submitlike,BlackOps4.exe+381d920
BlackOps4.exe+da24d40,hash_912c950a9467b2e,BlackOps4.exe+3811770
BlackOps4.exe+da24d10,hash_3ea2c593564c38cc,BlackOps4.exe+380ff90
BlackOps4.exe+da24ce0,hash_52f98b825c502ea9,BlackOps4.exe+3811f70
BlackOps4.exe+da24cb0,hash_599510b7a911937d,BlackOps4.exe+380d9d0
BlackOps4.exe+da24c80,hash_19a830857cfac200,BlackOps4.exe+380daa0
BlackOps4.exe+da24c50,resetleaderboard,BlackOps4.exe+3813cf0
BlackOps4.exe+da24c20,resetleaderboards,BlackOps4.exe+38140a0
BlackOps4.exe+d71d310,sendinvite,BlackOps4.exe+37e7240
BlackOps4.exe+d71d2e0,updateinfoforingamelist,BlackOps4.exe+37e8030
BlackOps4.exe+da38e00,reportuser,BlackOps4.exe+381a1e0
BlackOps4.exe+7be41e0,awardplatformachievement,BlackOps4.exe+22ed870
BlackOps4.exe+ed460a0,chatmodeparty,BlackOps4.exe+3a775b0
BlackOps4.exe+ed46070,chatmodeteam,BlackOps4.exe+3a775d0
BlackOps4.exe+ed46040,chatmodepublic,BlackOps4.exe+3a775c0
BlackOps4.exe+ed46010,chatmodelast,BlackOps4.exe+3a77570
BlackOps4.exe+da0aca8,hash_23e539f93a45f84c,BlackOps4.exe+3806c70
BlackOps4.exe+da0ac78,hash_24875afcf80bb12d,BlackOps4.exe+3806ce0
BlackOps4.exe+da0ac48,hash_13d16c2213de28b8,BlackOps4.exe+3806cb0
BlackOps4.exe+7be41b0,hash_1235e42fc5b03cf0,BlackOps4.exe+22ed790
BlackOps4.exe+7be4180,hash_3fe49b2a72934b65,BlackOps4.exe+22ed6f0
BlackOps4.exe+7be4150,hash_7180146d1ecc4c5,BlackOps4.exe+22e8220
BlackOps4.exe+7be4120,hash_37b6bd75516c0d29,BlackOps4.exe+22e8140
BlackOps4.exe+7be40f0,hash_6ae7ff9d73a6c09a,BlackOps4.exe+22e81c0
BlackOps4.exe+7be40c0,hash_631f6f131f5e8ea6,BlackOps4.exe+22eb7a0
BlackOps4.exe+daec550,hash_73a2b06da6b47db3,BlackOps4.exe+389b460
BlackOps4.exe+daec520,hash_33b0b2b2fa9cc344,BlackOps4.exe+389b4e0
BlackOps4.exe+daec4f0,hash_611ae8c19fe45c56,BlackOps4.exe+389b200
BlackOps4.exe+daec4c0,hash_470a94351ace99cf,BlackOps4.exe+389b150
BlackOps4.exe+daec490,hash_7f56c595d5f6794,BlackOps4.exe+389b0d0
BlackOps4.exe+7be82e0,hash_7f23d55407cc7385,BlackOps4.exe+22f1f00
BlackOps4.exe+7be82b0,hash_6f1dc07d6d6fccb1,BlackOps4.exe+22f0ee0
BlackOps4.exe+7be8280,hash_34959ca6aeace453,BlackOps4.exe+22f0e80
BlackOps4.exe+ddcd6d0,getxp,BlackOps4.exe+38c00f0
BlackOps4.exe+ddaa0b0,uploadstats,BlackOps4.exe+38bb510
BlackOps4.exe+ddaa080,pubsemaphorefetch,BlackOps4.exe+38ba240
BlackOps4.exe+ddaa050,getuserobjectcounts,BlackOps4.exe+38b9710
BlackOps4.exe+ddaa020,forcesynctime,BlackOps4.exe+38b7ac0
BlackOps4.exe+7c22278,hash_1a04422a877a3958,BlackOps4.exe+263bbb0
BlackOps4.exe+7c22248,hash_4c2d12b012e0aa2b,BlackOps4.exe+263b340
BlackOps4.exe+6440e50,copybubblegumpack,BlackOps4.exe+6ab4e0
BlackOps4.exe+6440e20,copyclass,BlackOps4.exe+6ab640
BlackOps4.exe+6440df0,builditemlistforslotnameandgroup,BlackOps4.exe+6a9b80
BlackOps4.exe+6440dc0,builditemlistforgroupname,BlackOps4.exe+6a9a80
BlackOps4.exe+6440d90,builditemlistforgroupforweapontable,BlackOps4.exe+6a9980
BlackOps4.exe+6440d60,builditemlistforgroup,BlackOps4.exe+6a9910
BlackOps4.exe+6440d30,builditemlistforslotname,BlackOps4.exe+6a9d00
BlackOps4.exe+6440d00,purchaseitem,BlackOps4.exe+6b62e0
BlackOps4.exe+6440cd0,clearallitemsnew,BlackOps4.exe+6aa6c0
BlackOps4.exe+6440ca0,clearitemnew,BlackOps4.exe+6aadb0
BlackOps4.exe+6440c70,hash_762b92b55b41419a,BlackOps4.exe+6b7a70
BlackOps4.exe+6440c40,hash_52cc73fc4a8ccfbc,BlackOps4.exe+6b7a80
BlackOps4.exe+6440c10,resetcurrentclasssetindexmpcustom,BlackOps4.exe+6b7a90
BlackOps4.exe+6440be0,resetcurrentclasssetindexmppublic,BlackOps4.exe+6b7aa0
BlackOps4.exe+6440bb0,hash_1c0f022dbacdc86a,BlackOps4.exe+6b79f0
BlackOps4.exe+6440b80,hash_7c5b5beabb8eaaec,BlackOps4.exe+6b7a00
BlackOps4.exe+6440b50,resetclasssetnamempcustom,BlackOps4.exe+6b7a10
BlackOps4.exe+6440b20,resetclasssetnamemppublic,BlackOps4.exe+6b7a20
BlackOps4.exe+6440af0,hash_64440946a7132047,BlackOps4.exe+6b7a30
BlackOps4.exe+6440ac0,hash_329fe619a81dcb6d,BlackOps4.exe+6b7a40
BlackOps4.exe+6440a90,resetclasssetslotmpcustom,BlackOps4.exe+6b7a50
BlackOps4.exe+6440a60,resetclasssetslotmppublic,BlackOps4.exe+6b7a60
BlackOps4.exe+6440a30,resetmpshowcaseweaponvariantname,BlackOps4.exe+6b80b0
BlackOps4.exe+6440a00,resetmpshowcaseweaponattributearray,BlackOps4.exe+6b7e30
BlackOps4.exe+64409d0,resetmpshowcaseweaponattribute,BlackOps4.exe+6b7bc0
BlackOps4.exe+64409a0,resetmpcharacterloadout,BlackOps4.exe+6b7b40
BlackOps4.exe+6440970,resetbubblegumpackoffline,BlackOps4.exe+6b79d0
BlackOps4.exe+6440940,resetbubblegumpackonline,BlackOps4.exe+6b79e0
BlackOps4.exe+6440910,resetloadoutzmoffline,BlackOps4.exe+6b7b20
BlackOps4.exe+64408e0,hash_4d2d8f7f576add72,BlackOps4.exe+6b7b10
BlackOps4.exe+64408b0,resetloadoutzmonline,BlackOps4.exe+6b7b30
BlackOps4.exe+6440880,hash_695cbec522c911df,BlackOps4.exe+6b7ac0
BlackOps4.exe+6440850,resetloadoutmpoffline,BlackOps4.exe+6b7af0
BlackOps4.exe+6440820,hash_70cd1fd23022ba23,BlackOps4.exe+6b7ab0
BlackOps4.exe+64407f0,hash_5d243affeec93cb9,BlackOps4.exe+6b7ad0
BlackOps4.exe+64407c0,resetloadoutmpcustom,BlackOps4.exe+6b7ae0
BlackOps4.exe+6440790,resetloadoutmppublic,BlackOps4.exe+6b7b00
BlackOps4.exe+6440760,clearallloadoutslotszmoffline,BlackOps4.exe+6aaa20
BlackOps4.exe+6440730,hash_7ff4f7287cf5eb62,BlackOps4.exe+6aa9f0
BlackOps4.exe+6440700,clearallloadoutslotszmonline,BlackOps4.exe+6aaa50
BlackOps4.exe+64406d0,hash_4c8dc7c789ad928f,BlackOps4.exe+6aa900
BlackOps4.exe+64406a0,clearallloadoutslotsmpoffline,BlackOps4.exe+6aa990
BlackOps4.exe+6440670,hash_289d62dd86b17e13,BlackOps4.exe+6aa8d0
BlackOps4.exe+6440640,hash_4aa3c3ac9cb2f7c9,BlackOps4.exe+6aa930
BlackOps4.exe+6440610,clearallloadoutslotsmpcustom,BlackOps4.exe+6aa960
BlackOps4.exe+64405e0,clearallloadoutslotsmppublic,BlackOps4.exe+6aa9c0
BlackOps4.exe+64405b0,clearallloadoutslots,BlackOps4.exe+6aa760
BlackOps4.exe+6440580,clearloadoutslotzmoffline,BlackOps4.exe+6ab110
BlackOps4.exe+6440550,hash_56eff8e3b88378d4,BlackOps4.exe+6ab0e0
BlackOps4.exe+6440520,clearloadoutslotzmonline,BlackOps4.exe+6ab140
BlackOps4.exe+64404f0,hash_2ed2dcb23ee3e601,BlackOps4.exe+6aaff0
BlackOps4.exe+64404c0,clearloadoutslotmpoffline,BlackOps4.exe+6ab080
BlackOps4.exe+6440490,hash_5a92f59a9ceaa765,BlackOps4.exe+6aafc0
BlackOps4.exe+6440460,hash_3a1fe2e9ab192897,BlackOps4.exe+6ab020
BlackOps4.exe+6440430,clearloadoutslotmpcustom,BlackOps4.exe+6ab050
BlackOps4.exe+6440400,clearloadoutslotmppublic,BlackOps4.exe+6ab0b0
BlackOps4.exe+64403d0,clearloadoutslot,BlackOps4.exe+6aae40
BlackOps4.exe+64403a0,equiploadoutweaponslotzmoffline,BlackOps4.exe+6ad440
BlackOps4.exe+6440370,hash_5904d0be75d8703b,BlackOps4.exe+6ad410
BlackOps4.exe+6440340,equiploadoutweaponslotzmonline,BlackOps4.exe+6ad470
BlackOps4.exe+6440310,hash_520fbd71c21a75d6,BlackOps4.exe+6ad320
BlackOps4.exe+64402e0,equiploadoutweaponslotmpoffline,BlackOps4.exe+6ad3b0
BlackOps4.exe+64402b0,hash_6c6fe86191d1f604,BlackOps4.exe+6ad2f0
BlackOps4.exe+6440280,hash_4c26782d2d210012,BlackOps4.exe+6ad350
BlackOps4.exe+6440250,equiploadoutweaponslotmpcustom,BlackOps4.exe+6ad380
BlackOps4.exe+6440220,equiploadoutweaponslotmppublic,BlackOps4.exe+6ad3e0
BlackOps4.exe+64401f0,equiploadoutweaponslot,BlackOps4.exe+6acf90
BlackOps4.exe+64401c0,equiploadoutslotzmoffline,BlackOps4.exe+6acf30
BlackOps4.exe+6440190,hash_147eec2b294a0e0f,BlackOps4.exe+6acf00
BlackOps4.exe+6440160,equiploadoutslotzmonline,BlackOps4.exe+6acf60
BlackOps4.exe+6440130,hash_3c43911edbfae04a,BlackOps4.exe+6ace10
BlackOps4.exe+6440100,equiploadoutslotmpoffline,BlackOps4.exe+6acea0
BlackOps4.exe+64400d0,hash_b348a791c457660,BlackOps4.exe+6acde0
BlackOps4.exe+64400a0,hash_5af1a0f0c3a84e5e,BlackOps4.exe+6ace40
BlackOps4.exe+6440070,equiploadoutslotmpcustom,BlackOps4.exe+6ace70
BlackOps4.exe+6440040,equiploadoutslotmppublic,BlackOps4.exe+6aced0
BlackOps4.exe+6440010,equiploadoutslot,BlackOps4.exe+6acc00
BlackOps4.exe+643ffe0,equipdefaultitemtoslot,BlackOps4.exe+6aca90
BlackOps4.exe+643ffb0,uiequipdefaultclass,BlackOps4.exe+6bae00
BlackOps4.exe+643ff80,equipdefaultclasstoprofile,BlackOps4.exe+6ac960
BlackOps4.exe+643ff50,hash_7dda9eeabef890f0,BlackOps4.exe+6ac4c0
BlackOps4.exe+643ff20,hash_7862d86dbb42bf36,BlackOps4.exe+6ac5e0
BlackOps4.exe+643fef0,equipdefaultcustommatchclass,BlackOps4.exe+6ac970
BlackOps4.exe+643fec0,equipdefaultclass,BlackOps4.exe+6ac810
BlackOps4.exe+643fe90,equipclass,BlackOps4.exe+6ac220
BlackOps4.exe+daf6ea8,clearcustomleaderboards,BlackOps4.exe+38a3d50
